1,1.0507351855468756e-8,1.4896088188827147e-12
2,1.2509922485351565e-8,2.2295406973591017e-12
4,1.6009089251708976e-8,1.5085830814960113e-12
8,2.2016983508300775e-8,2.607883954469717e-12
16,3.6455000988769516e-8,8.209353119945127e-12
32,6.58623155029297e-8,8.612173900992508e-12
64,1.2271378056640624e-7,1.9397376686894034e-11
128,2.4967282421874987e-7,8.850630724441857e-11
256,4.815142623046872e-7,5.1993278072323055e-11
512,9.473412648437498e-7,1.8819098124430933e-10
1024,1.8747461507812502e-6,2.3220233197159765e-10
2048,3.734073106250002e-6,7.000162000628255e-10
4096,7.447677403124996e-6,9.568149793258236e-10
8192,1.488074271875e-5,2.0329352520093147e-9
16384,3.068878377500001e-5,3.8192002912130005e-9
32768,6.153971837500002e-5,8.565115908273148e-9
65536,0.00012535890590000004,2.0475297747875854e-8
131072,0.0002525361389000001,1.5767035893264316e-8
262144,0.0005053069979000001,1.2258520803490543e-7
524288,0.0010149944404999993,1.668949608372311e-7
1048576,0.002054443263049999,4.897004073157416e-7
